"","Sigma","%"
"Variations  Between region  ",0.0323163291590329,1.32989974968948
"Variations  Between samples Within region",0.612653309805582,25.2122535126838
"Variations  Within samples",1.78501270869569,73.4578467376267
"Total variations",2.42998234766031,100
