"","Df","Sum Sq","Mean Sq"
"Between region  ",2,20.7665735877955,10.3832867938978
"Between samples Within region",22,141.906646390458,6.45030210865719
"Within samples",175,312.377224021746,1.78501270869569
"Total",199,475.050444,2.38718816080402
