Variable	PC1	PC2
RHYTHMIC RELATIONSHIP WITHIN THE ORCHESTRA	0.04	0.36
RHYTHMIC COORDINATION OF THE ORCHESTRA	0.04	0.35
MUSICAL ORGANIZATION OF THE ORCHESTRA	0.13	0.34
RELATIONSHIP OF ORCHESTRA TO VOCAL PARTS	0.08	0.34
TONAL BLEND OF THE ORCHESTRA	0.07	0.31
OVERALL RHYTHM: ORCHESTRA	0.24	0.2
THE SOCIAL ORGANIZATION OF THE VOCAL GROUP	-0.19	0.2
RELATIONSHIP OF ORCHESTRA TO VOCAL PARTS	0.20	0.19
VOLUME	0.01	0.18
RHYTHMIC COORDINATION OF THE VOCAL GROUP	-0.26	0.18
RUBATO: VOCAL	-0.19	0.16
TONAL BLEND OF THE VOCAL GROUP	-0.24	0.12
TEMPO	-0.15	0.11
RHYTHMIC RELATIONSHIP WITHIN THE VOCAL GROUP	-0.20	0.1
TREMOLO	-0.2	0.1
REPETITION OF TEXT	-0.21	0.1
GLISSANDO	-0.11	0.08
MUSICAL ORGANIZATION OF THE VOCAL PART	-0.24	0.08
RUBATO: ORCHESTRA	-0.15	0.03
MELISMA	-0.22	0.03
MELODIC SHAPE	0.00000	0.02
NUMBER OF PHRASES	-0.21	0.02
POLYPHONIC TYPE	-0.15	0.000000
MELODIC FORM	-0.25	0.0000
PHRASE LENGTH	-0.09	-0.01
GLOTTAL	-0.18	-0.01
INTERVAL SIZE	-0.22	-0.03
ENUNCIATION	-0.11	-0.04
MELODIC RANGE	0.12	-0.06
EMBELLISHMENT	-0.26	-0.06
VOCAL PITCH (REGISTER)	-0.07	-0.09
NASALITY	-0.14	-0.09
POSITION OF FINAL TONE	0.09	-0.1
RASP	-0.04	-0.1
ACCENT	-0.01	-0.16
VOCAL WIDTH	-0.19	-0.18
OVERALL RHYTHM: VOCAL	0.09	-0.2
