,language
0,Dravidian
1,Dravidian
2,Dravidian
3,Dravidian
4,Austroasiatic
5,Austroasiatic
6,Dravidian
7,Austroasiatic
8,Indo-Aryan
9,Indo-Aryan
10,Indo-Aryan
11,Indo-Aryan
12,Dravidian
13,Dravidian
14,Dravidian
15,Dravidian
16,Dravidian
17,Dravidian
18,Austroasiatic
19,Dravidian
20,Austroasiatic
21,Indo-Aryan
22,Indo-Aryan
23,Dravidian
24,Dravidian
