,canto_coding_id,C Indian Folk,Uttar Pradesh,Benares,Rajasthan,Saurashtra,Banjara,Andh,Madras,Kerala
0,756,1,0,0,0,0,0,0,0,0
1,9895,0,1,0,0,0,0,0,0,0
2,9896,0,1,0,0,0,0,0,0,0
3,9899,0,1,0,0,0,0,0,0,0
4,9914,0,1,0,0,0,0,0,0,0
5,9915,0,1,0,0,0,0,0,0,0
6,9916,0,1,0,0,0,0,0,0,0
7,9918,0,1,0,0,0,0,0,0,0
8,9919,0,1,0,0,0,0,0,0,0
9,9920,0,1,0,0,0,0,0,0,0
10,752,0,0,1,0,0,0,0,0,0
11,1029,0,0,1,0,0,0,0,0,0
12,9897,0,0,1,0,0,0,0,0,0
13,9898,0,0,1,0,0,0,0,0,0
14,9900,0,0,1,0,0,0,0,0,0
15,9901,0,0,1,0,0,0,0,0,0
16,9913,0,0,1,0,0,0,0,0,0
17,753,0,0,0,1,0,0,0,0,0
18,754,0,0,0,1,0,0,0,0,0
19,1030,0,0,0,1,0,0,0,0,0
20,9921,0,0,0,1,0,0,0,0,0
21,9922,0,0,0,1,0,0,0,0,0
22,9923,0,0,0,1,0,0,0,0,0
23,9924,0,0,0,1,0,0,0,0,0
24,9925,0,0,0,1,0,0,0,0,0
25,757,0,0,0,0,1,0,0,0,0
26,3851,0,0,0,0,0,1,0,0,0
27,3762,0,0,0,0,0,0,1,0,0
28,748,0,0,0,0,0,0,0,1,0
29,759,0,0,0,0,0,0,0,1,0
30,760,0,0,0,0,0,0,0,1,0
31,974,0,0,0,0,0,0,0,1,0
32,8004,0,0,0,0,0,0,0,1,0
33,1843,0,0,0,0,0,0,0,0,1
34,1844,0,0,0,0,0,0,0,0,1
35,1845,0,0,0,0,0,0,0,0,1
36,1846,0,0,0,0,0,0,0,0,1
37,1847,0,0,0,0,0,0,0,0,1
38,1848,0,0,0,0,0,0,0,0,1
39,1849,0,0,0,0,0,0,0,0,1
40,1850,0,0,0,0,0,0,0,0,1
41,1851,0,0,0,0,0,0,0,0,1
42,1852,0,0,0,0,0,0,0,0,1
43,3754,0,0,0,0,0,0,0,0,1
44,3755,0,0,0,0,0,0,0,0,1
45,9193,0,0,0,0,0,0,0,0,1
46,9347,0,0,0,0,0,0,0,0,1
