,canto_coding_id,region,division,subregion,area_kingdom,culture,language,people,lat,lng,cv_1,cv_2,cv_3,cv_4,cv_5,cv_6,cv_7,cv_8,cv_9,cv_10,cv_11,cv_12,cv_13,cv_14,cv_15,cv_16,cv_17,cv_18,cv_19,cv_20,cv_21,cv_22,cv_23,cv_24,cv_25,cv_26,cv_27,cv_28,cv_29,cv_30,cv_31,cv_32,cv_33,cv_34,cv_35,cv_36,cv_37,Number of Samples
104,752,North,India,Gangetic Plain,"Varanasi, Uttar Pradesh",Benares,Indo-European,Non-Tribal,25.13,82.56,0.31,0.62,0.15,0.31,0.08,0.08,0.31,0.08,0.08,0.08,1.0,0.08,1.0,0.08,1.0,0.31,0.31,0.38,0.85,0.77,0.31,0.08,0.54,0.38,0.77,0.08,0.08,0.08,1.0,0.08,0.08,0.31,0.08,0.08,0.08,0.31,0.31,7
105,1029,North,India,Gangetic Plain,"Varanasi, Uttar Pradesh",Benares,Indo-European,Non-Tribal,25.31,82.97,0.69,0.62,0.38,0.54,0.54,0.77,1.0,0.54,1.0,0.08,0.85,0.23,0.46,0.69,0.08,0.69,0.31,1.0,0.08,0.54,0.54,0.08,0.77,0.85,0.77,1.0,1.0,0.38,1.0,0.08,1.0,0.54,0.23,0.08,0.31,0.31,0.08,7
106,9897,North,India,Gangetic Plain,"Varanasi, Uttar Pradesh",Benares,Indo-European,Non-Tribal,26.84,80.94,0.77,0.85,0.73,0.77,0.54,0.77,1.0,0.31,1.0,0.54,0.46,0.23,0.46,0.85,0.69,0.35,0.77,0.85,0.31,0.77,0.31,0.08,0.54,0.69,0.77,0.69,0.69,0.69,0.54,0.54,1.0,0.77,0.35,0.31,0.42,0.77,0.31,7
107,9898,North,India,Gangetic Plain,"Varanasi, Uttar Pradesh",Benares,Indo-European,Non-Tribal,26.84,80.94,0.15,0.92,0.15,0.31,0.08,0.08,0.31,0.08,0.08,0.31,0.85,0.08,0.46,0.08,0.69,0.69,0.77,0.85,0.69,0.77,0.42,0.08,0.54,0.38,0.77,0.38,1.0,0.38,0.54,0.31,0.54,0.0,0.23,0.08,0.31,0.77,0.31,7
108,9900,North,India,Gangetic Plain,"Varanasi, Uttar Pradesh",Benares,Indo-European,Non-Tribal,26.84,80.94,0.15,0.92,0.15,0.31,0.08,0.08,1.0,0.08,0.08,0.54,0.85,0.08,0.85,0.08,0.0,0.15,0.31,0.08,0.69,0.77,0.54,0.08,0.31,0.69,0.77,0.38,0.69,0.38,0.54,0.54,0.54,0.77,0.35,0.31,0.08,0.77,0.31,7
109,9901,North,India,Gangetic Plain,"Varanasi, Uttar Pradesh",Benares,Indo-European,Non-Tribal,26.84,80.94,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.31,0.85,0.08,0.08,0.08,0.69,0.85,0.77,0.85,0.69,0.54,0.54,0.08,0.77,0.69,0.19,0.69,0.08,0.69,0.54,0.31,1.0,0.77,0.23,0.54,0.54,0.77,0.54,7
110,9913,North,India,Gangetic Plain,"Varanasi, Uttar Pradesh",Benares,Indo-European,Non-Tribal,26.84,80.94,0.62,0.85,0.85,0.77,0.54,0.77,1.0,0.54,0.54,0.54,0.46,0.23,0.46,0.85,0.69,0.15,0.42,0.08,0.31,0.77,0.42,0.08,0.31,0.69,0.77,0.69,0.69,0.69,0.54,0.54,0.54,0.77,0.23,0.31,0.31,0.54,0.54,7
111,753,North,India,N W India,Rajasthan,Rajasthan,Indo-European,Non-Tribal,27.02,74.21,0.15,0.69,0.54,0.31,0.08,0.08,0.77,1.0,0.54,0.08,0.46,0.08,0.46,0.69,0.69,0.08,0.54,0.08,0.31,0.54,0.31,0.08,0.31,0.69,0.31,1.0,1.0,0.08,1.0,0.08,1.0,0.77,0.62,0.77,0.54,0.77,0.54,8
112,754,North,India,N W India,Rajasthan,Rajasthan,Indo-European,Non-Tribal,23.91,87.52,0.15,0.62,0.54,0.31,0.08,0.08,1.0,0.54,0.77,0.08,0.69,0.08,0.69,0.69,0.69,0.08,0.08,0.08,0.08,0.77,0.31,0.08,0.08,0.69,0.77,0.08,0.08,0.38,0.08,0.08,0.08,0.31,0.08,0.31,0.77,0.54,0.54,8
113,1030,North,India,N W India,Rajasthan,Rajasthan,Indo-European,Non-Tribal,27.02,74.21,0.62,0.38,0.54,0.54,0.54,0.54,1.0,0.54,0.77,0.08,0.85,0.23,0.85,0.69,0.69,0.15,0.31,0.08,0.31,0.54,0.54,0.08,0.31,0.69,0.77,0.69,0.85,0.38,0.54,0.08,1.0,0.42,0.08,0.08,0.31,0.54,0.31,8
114,9921,North,India,N W India,Rajasthan,Rajasthan,Indo-European,Non-Tribal,27.02,74.21,0.15,0.77,0.15,0.31,0.08,0.08,1.0,0.08,0.08,0.31,1.0,0.08,1.0,0.08,0.69,0.31,0.31,0.62,0.31,0.77,0.31,0.08,0.31,0.38,0.54,0.08,0.08,0.38,0.08,0.31,0.08,0.31,0.46,0.08,0.54,0.31,0.54,8
115,9922,North,India,N W India,Rajasthan,Rajasthan,Indo-European,Non-Tribal,27.02,74.21,0.46,0.77,0.54,0.77,0.54,0.31,1.0,0.77,0.77,0.31,0.85,0.38,0.85,0.38,0.69,0.31,0.31,0.38,0.08,0.54,0.31,0.08,0.08,0.85,0.77,0.69,1.0,0.08,0.08,0.31,0.08,0.42,0.23,0.08,0.31,0.31,0.54,8
116,9923,North,India,N W India,Rajasthan,Rajasthan,Indo-European,Non-Tribal,27.02,74.21,0.15,0.77,0.15,0.31,0.08,0.08,1.0,0.08,0.08,0.31,0.92,0.08,0.92,0.08,0.69,0.15,0.42,0.08,0.31,0.77,0.31,0.08,0.31,0.38,0.54,0.69,0.69,0.38,0.08,0.31,0.54,0.42,0.23,0.31,0.31,0.31,0.31,8
117,9924,North,India,N W India,Rajasthan,Rajasthan,Indo-European,Non-Tribal,27.02,74.21,0.15,0.77,0.54,0.31,0.08,0.08,1.0,0.77,0.77,0.31,1.0,0.0,1.0,0.31,0.85,0.15,0.77,0.08,0.31,0.54,0.31,0.08,0.08,0.23,0.77,0.08,1.0,0.08,0.08,0.31,0.08,0.42,0.23,0.31,0.54,0.31,0.31,8
118,9925,North,India,N W India,Rajasthan,Rajasthan,Indo-European,Non-Tribal,27.02,74.21,0.92,0.15,0.85,0.77,0.31,0.54,1.0,0.54,0.77,0.77,0.23,0.23,0.46,0.69,0.69,0.62,0.77,0.85,0.31,0.31,0.31,0.08,0.54,0.69,0.54,1.0,1.0,0.38,0.54,0.77,0.54,0.54,0.46,0.54,0.31,0.31,0.54,8
119,757,North,India,Western Ghats,Gujarat,Saurashtra,Indo-European,Non-Tribal,22.25,71.19,0.69,0.38,0.46,0.54,0.54,0.54,0.54,0.31,0.31,0.31,0.69,0.23,0.69,0.23,0.08,0.15,0.54,0.08,0.08,0.54,0.54,0.08,0.54,0.69,0.54,0.38,1.0,0.38,0.54,0.31,1.0,0.54,0.08,0.54,0.54,0.54,0.54,1
121,3851,South,India,C India/ Central Tribal Area,Andhra Pradesh/ Madhya Pradesh/ Maharashtra/ Telangana,Banjara,Indo-European,Non-Tribal,19.89,75.3,0.69,0.92,0.69,0.77,0.54,0.54,1.0,0.54,0.77,0.54,0.46,0.38,0.46,0.69,0.69,0.69,1.0,0.85,0.31,0.31,0.31,0.08,0.08,0.77,0.42,1.0,1.0,1.0,0.54,0.54,0.54,0.31,0.23,0.31,0.31,0.77,0.77,1
125,3762,South,India,C India/ Central Tribal Area,Maharashtra/ Telangana,Andh,Indo-European,Non-Tribal,31.73,75.94,0.46,0.08,0.08,1.0,0.31,0.42,0.08,0.08,0.08,0.31,0.85,0.23,0.08,0.08,0.69,0.46,0.54,0.08,0.31,0.54,0.54,0.46,0.54,0.69,0.54,0.69,1.0,0.69,0.54,0.31,1.0,0.54,0.62,0.54,0.77,0.54,0.77,1
129,748,South,India,Dravidian Deccan,Tamil Nadu,Madras,Dravidian,Non-Tribal,13.08,80.27,0.15,0.62,0.54,0.31,0.08,0.08,1.0,1.0,1.0,0.31,0.85,0.08,0.85,0.69,0.69,0.08,0.08,0.08,0.08,0.77,0.31,0.08,0.08,0.85,0.77,1.0,1.0,0.38,0.08,0.31,1.0,0.42,0.23,0.31,0.31,0.54,0.08,5
130,759,South,India,Dravidian Deccan,Tamil Nadu,Madras,Dravidian,Non-Tribal,13.08,80.27,0.62,0.62,0.62,0.54,0.54,0.77,1.0,0.54,1.0,0.54,0.46,0.23,0.69,0.69,0.69,0.92,0.31,1.0,0.08,0.31,0.31,0.08,0.54,0.85,0.54,1.0,1.0,0.69,1.0,0.54,0.54,0.54,0.23,0.31,0.31,0.54,0.31,5
131,760,South,India,Dravidian Deccan,Tamil Nadu,Madras,Dravidian,Non-Tribal,13.08,80.27,0.15,0.62,0.54,0.31,0.08,0.08,1.0,1.0,0.77,0.08,0.85,0.08,0.69,0.69,0.38,0.31,0.31,0.38,0.08,0.77,0.31,0.08,0.08,0.69,0.31,0.08,0.08,0.69,0.08,0.08,1.0,0.54,0.46,0.31,0.77,0.54,0.31,5
132,974,South,India,Dravidian Deccan,Tamil Nadu,Madras,Dravidian,Non-Tribal,13.08,80.27,0.54,0.62,0.46,0.77,0.77,0.31,0.54,1.0,0.08,0.08,1.0,0.38,0.08,0.08,0.69,0.08,0.08,0.08,0.69,0.77,0.31,0.08,0.08,0.08,0.31,0.08,1.0,0.38,0.08,0.08,1.0,0.77,0.35,0.08,0.54,0.77,0.31,5
133,8004,South,India,Dravidian Deccan,Tamil Nadu,Madras,Dravidian,Non-Tribal,13.08,80.27,0.15,0.0,0.85,0.31,0.08,0.08,0.88,0.0,1.0,0.77,0.85,0.08,0.69,0.85,0.69,0.42,0.54,0.85,0.69,0.54,0.31,0.08,0.08,0.69,0.54,0.38,1.0,0.38,0.08,0.77,0.08,0.54,0.23,0.31,0.54,0.54,1.0,5
184,1843,South,India,Western Ghats,Kerala,Kerala,Dravidian,Non-Tribal,8.52,76.93,0.69,0.23,0.38,0.54,0.54,1.0,1.0,0.77,1.0,0.54,0.46,0.23,0.46,0.69,0.69,0.23,0.54,0.08,0.31,0.31,0.31,0.08,0.54,0.69,0.77,1.0,1.0,0.69,0.54,0.54,0.54,0.31,0.23,0.31,0.54,0.31,0.54,14
185,1844,South,India,Western Ghats,Kerala,Kerala,Dravidian,Non-Tribal,8.52,76.93,0.46,0.23,0.46,0.54,0.54,0.77,1.0,0.77,1.0,0.54,0.46,0.23,0.46,0.69,0.69,0.23,0.54,0.08,0.31,0.77,0.54,0.08,0.31,0.69,0.54,1.0,1.0,0.38,0.54,0.54,0.54,0.77,0.23,0.31,0.54,0.54,0.54,14
186,1845,South,India,Western Ghats,Kerala,Kerala,Dravidian,Non-Tribal,10.85,76.27,0.46,0.23,0.46,0.54,0.54,1.0,1.0,0.77,1.0,0.54,0.46,0.23,0.46,0.85,0.69,0.23,0.31,0.08,0.08,0.54,0.54,0.08,0.31,0.69,0.54,1.0,1.0,0.69,0.54,0.54,0.54,0.54,0.23,0.08,0.31,0.54,0.77,14
187,1846,South,India,Western Ghats,Kerala,Kerala,Dravidian,Non-Tribal,10.85,76.27,0.77,0.69,0.62,0.77,0.54,0.31,0.54,0.77,0.31,0.31,1.0,0.38,0.92,0.38,0.69,0.08,0.08,0.08,0.85,0.77,0.31,0.08,0.08,0.38,0.54,0.08,0.08,0.38,0.54,0.31,0.08,0.77,0.23,0.31,0.31,0.54,0.08,14
188,1847,South,India,Western Ghats,Kerala,Kerala,Dravidian,Non-Tribal,10.85,76.27,0.15,0.08,0.08,0.31,0.08,0.08,0.08,0.08,0.08,0.31,0.85,0.08,0.08,0.08,0.69,0.15,0.54,0.08,0.85,0.77,0.31,0.08,0.31,0.38,0.54,0.69,1.0,0.69,0.54,0.31,0.08,0.54,0.35,0.31,0.54,0.54,0.08,14
189,1848,South,India,Western Ghats,Kerala,Kerala,Dravidian,Non-Tribal,10.85,76.27,0.15,0.15,0.15,0.31,0.08,0.08,0.31,0.08,0.08,0.54,0.85,0.08,0.69,0.08,0.85,0.92,0.54,1.0,0.08,0.31,0.54,0.08,0.31,0.69,0.54,1.0,1.0,0.38,0.54,0.54,1.0,0.31,0.23,0.08,0.31,0.54,0.31,14
190,1849,South,India,Western Ghats,Kerala,Kerala,Dravidian,Non-Tribal,10.85,76.27,0.62,0.15,0.38,1.0,0.54,1.0,1.0,0.77,1.0,0.54,0.46,0.23,0.46,0.69,0.69,0.38,0.54,0.46,0.08,0.54,0.54,0.77,0.31,0.69,0.77,1.0,1.0,0.38,1.0,0.54,0.08,0.31,0.08,0.08,0.31,0.54,0.54,14
191,1850,South,India,Western Ghats,Kerala,Kerala,Dravidian,Non-Tribal,10.85,76.27,0.46,0.23,0.38,0.54,0.54,0.77,0.31,0.08,0.77,0.54,0.46,0.23,0.46,0.23,0.69,0.46,0.54,0.23,0.08,0.77,0.54,0.08,0.54,0.69,0.31,1.0,1.0,0.69,0.54,0.54,0.54,0.54,0.62,0.54,0.54,0.54,0.31,14
192,1851,South,India,Western Ghats,Kerala,Kerala,Dravidian,Non-Tribal,10.85,76.27,0.62,0.23,0.46,1.0,0.77,1.0,0.54,1.0,0.77,0.54,0.46,0.23,0.46,0.23,0.69,0.85,0.54,1.0,0.08,0.54,0.54,0.62,0.31,0.77,0.54,1.0,1.0,0.69,0.54,0.54,0.54,0.54,0.23,0.08,0.31,0.54,0.31,14
193,1852,South,India,Western Ghats,Kerala,Kerala,Dravidian,Non-Tribal,10.85,76.27,0.73,0.08,0.08,1.0,0.77,0.77,0.08,0.08,0.08,0.54,0.85,0.23,0.08,0.08,0.69,0.15,0.42,0.08,0.08,0.54,0.31,0.62,0.31,0.85,0.54,0.69,1.0,0.38,0.54,0.54,0.54,0.54,0.23,0.08,0.31,0.54,0.08,14
194,3754,South,India,Western Ghats,Kerala,Kerala,Dravidian,Non-Tribal,10.85,76.27,0.15,0.62,0.38,0.31,0.08,0.08,1.0,0.54,1.0,0.31,0.46,0.08,0.46,0.46,0.69,0.77,0.77,0.85,0.08,0.77,0.31,0.08,0.08,0.69,0.54,0.38,1.0,0.38,0.08,0.31,0.08,0.77,0.35,0.08,0.77,0.77,0.08,14
195,3755,South,India,Western Ghats,Kerala,Kerala,Dravidian,Non-Tribal,10.85,76.27,0.15,0.15,0.38,0.31,0.08,0.08,1.0,0.54,1.0,0.31,0.46,0.08,0.46,0.54,0.69,0.23,0.77,0.08,0.85,0.77,0.31,0.08,0.08,0.69,0.54,1.0,1.0,0.69,0.08,0.31,0.08,0.42,0.23,0.08,0.08,0.54,0.08,14
196,9193,South,India,Western Ghats,Kerala,Kerala,Dravidian,Non-Tribal,10.85,76.27,2.0,0.0,0.31,0.0,0.0,0.0,0.31,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
197,9347,South,India,Western Ghats,Kerala,Kerala,Dravidian,Non-Tribal,10.85,76.27,0.15,0.77,0.85,0.31,0.08,0.08,1.0,0.31,0.31,1.0,0.85,0.08,0.85,0.69,0.69,0.77,0.77,0.08,0.69,1.0,0.31,0.08,0.08,0.85,0.77,1.0,1.0,0.69,0.08,1.0,0.08,1.0,0.23,0.31,0.31,1.0,1.0,14
